# The rewrite census: how often each rewrite is admitted per bench program.
# Written by `scripts/rewrite_census.py --bless`; a drop against it fails `make rewrite-census`.
# program <TAB> commit (a library checkout's; `-` for an in-repo lane) <TAB> rule <TAB> count
17_consumer_moros_dryopea	-	R-CompleteWrite	32
17_consumer_moros_dryopea	-	R-Header	10
17_consumer_moros_dryopea	-	R-Invariant	20
17_consumer_moros_dryopea	-	R-PushFill/record	1
17_consumer_moros_dryopea	-	R-PushRec	5
17_consumer_moros_dryopea	-	R-RecPtr	30
17_consumer_moros_dryopea	-	R-RetAdopt	4
17_consumer_moros_dryopea	-	R-Scalar	2
17_consumer_moros_dryopea	-	R-TextBorrow	11
17_consumer_moros_dryopea	-	R-ValueLocal	20
17_consumer_moros_dryopea	-	R-ValueRecord	9
18_consumer_crawler	-	R-Base	33
18_consumer_crawler	-	R-CharWalk	13
18_consumer_crawler	-	R-CompleteWrite	20
18_consumer_crawler	-	R-Header	41
18_consumer_crawler	-	R-Invariant	40
18_consumer_crawler	-	R-Push	14
18_consumer_crawler	-	R-PushFill	6
18_consumer_crawler	-	R-RecPtr	4
18_consumer_crawler	-	R-RetAdopt	4
18_consumer_crawler	-	R-Scalar	4
18_consumer_crawler	-	R-TextBorrow	20
18_consumer_crawler	-	R-WorkBuffer	1
18_consumer_crawler	-	R-WorkBuffer/onward	2
19_stdlib_par	-	R-Base	6
19_stdlib_par	-	R-CharWalk	10
19_stdlib_par	-	R-CompleteWrite	10
19_stdlib_par	-	R-Header	9
19_stdlib_par	-	R-Push	6
19_stdlib_par	-	R-PushFill	4
19_stdlib_par	-	R-PushFill/record	1
19_stdlib_par	-	R-PushRec	1
19_stdlib_par	-	R-RecPtr	2
19_stdlib_par	-	R-RetAdopt	3
19_stdlib_par	-	R-Scalar	3
19_stdlib_par	-	R-TextBorrow	12
19_stdlib_par	-	R-WorkBuffer	2
arguments	628a7b6dd	R-Base	19
arguments	628a7b6dd	R-CharWalk	11
arguments	628a7b6dd	R-CompleteWrite	6
arguments	628a7b6dd	R-Header	6
arguments	628a7b6dd	R-LazySplit	1
arguments	628a7b6dd	R-RecPtr	9
arguments	628a7b6dd	R-RetAdopt	4
arguments	628a7b6dd	R-SplitTable	2
arguments	628a7b6dd	R-TextBorrow	19
assets	f7c7eb431	R-Base	21
assets	f7c7eb431	R-CharWalk	11
assets	f7c7eb431	R-CompleteWrite	17
assets	f7c7eb431	R-Header	23
assets	f7c7eb431	R-Invariant	7
assets	f7c7eb431	R-LoopBuffer	1
assets	f7c7eb431	R-Push	7
assets	f7c7eb431	R-PushFill	1
assets	f7c7eb431	R-PushRec	1
assets	f7c7eb431	R-RecPtr	12
assets	f7c7eb431	R-RetAdopt	4
assets	f7c7eb431	R-Scalar	10
assets	f7c7eb431	R-TextBorrow	13
assets	f7c7eb431	R-ValueLocal	11
assets	f7c7eb431	R-ValueRecord	2
assets	f7c7eb431	R-WorkBuffer	5
assets	f7c7eb431	R-WorkBuffer/onward	40
cbor	628a7b6dd	R-Base	10
cbor	628a7b6dd	R-CharWalk	10
cbor	628a7b6dd	R-CompleteWrite	34
cbor	628a7b6dd	R-Header	16
cbor	628a7b6dd	R-Invariant	4
cbor	628a7b6dd	R-LoopBuffer	1
cbor	628a7b6dd	R-Push	6
cbor	628a7b6dd	R-PushFill	4
cbor	628a7b6dd	R-PushFill/record	1
cbor	628a7b6dd	R-PushRec	1
cbor	628a7b6dd	R-RecPtr	4
cbor	628a7b6dd	R-RetAdopt	3
cbor	628a7b6dd	R-TextBorrow	11
cbor	628a7b6dd	R-WorkBuffer	3
crypto	628a7b6dd	R-Base	6
crypto	628a7b6dd	R-CharWalk	10
crypto	628a7b6dd	R-CompleteWrite	10
crypto	628a7b6dd	R-Header	3
crypto	628a7b6dd	R-Invariant	6
crypto	628a7b6dd	R-LoopBuffer	1
crypto	628a7b6dd	R-Push	1
crypto	628a7b6dd	R-PushFill	1
crypto	628a7b6dd	R-RecPtr	1
crypto	628a7b6dd	R-RetAdopt	3
crypto	628a7b6dd	R-TextBorrow	11
crypto	628a7b6dd	R-WorkBuffer	3
drawing	9781cd628	R-Base	108
drawing	9781cd628	R-BoundedNest	4
drawing	9781cd628	R-CharWalk	10
drawing	9781cd628	R-CompleteWrite	114
drawing	9781cd628	R-CopyView	2
drawing	9781cd628	R-ElemFirst	9
drawing	9781cd628	R-Header	170
drawing	9781cd628	R-Invariant	85
drawing	9781cd628	R-LazySplit	1
drawing	9781cd628	R-LitHoist	1
drawing	9781cd628	R-LoopBuffer	15
drawing	9781cd628	R-LoopRecord	2
drawing	9781cd628	R-MoveAppend	1
drawing	9781cd628	R-Push	42
drawing	9781cd628	R-PushFill	9
drawing	9781cd628	R-PushRec	18
drawing	9781cd628	R-RecPtr	28
drawing	9781cd628	R-RetAdopt	8
drawing	9781cd628	R-Scalar	100
drawing	9781cd628	R-TextBorrow	17
drawing	9781cd628	R-ValueLocal	237
drawing	9781cd628	R-ValueRecord	32
drawing	9781cd628	R-WorkBuffer	25
drawing	9781cd628	R-WorkBuffer/onward	159
fixstep	43b54cf45	R-Base	9
fixstep	43b54cf45	R-CharWalk	10
fixstep	43b54cf45	R-CompleteWrite	8
fixstep	43b54cf45	R-Header	6
fixstep	43b54cf45	R-Invariant	1
fixstep	43b54cf45	R-Push	2
fixstep	43b54cf45	R-PushFill	1
fixstep	43b54cf45	R-PushRec	1
fixstep	43b54cf45	R-RecPtr	2
fixstep	43b54cf45	R-RetAdopt	3
fixstep	43b54cf45	R-Scalar	6
fixstep	43b54cf45	R-TextBorrow	11
fixstep	43b54cf45	R-ValueLocal	9
fixstep	43b54cf45	R-ValueRecord	3
fixstep	43b54cf45	R-WorkBuffer	1
game_protocol	57b1addcf	R-Base	5
game_protocol	57b1addcf	R-CharWalk	10
game_protocol	57b1addcf	R-CompleteWrite	5
game_protocol	57b1addcf	R-Header	2
game_protocol	57b1addcf	R-Invariant	1
game_protocol	57b1addcf	R-RecPtr	1
game_protocol	57b1addcf	R-RetAdopt	3
game_protocol	57b1addcf	R-TextBorrow	11
game_protocol	57b1addcf	R-WorkBuffer	1
glb	f7c7eb431	R-Base	18
glb	f7c7eb431	R-CharWalk	10
glb	f7c7eb431	R-CompleteWrite	13
glb	f7c7eb431	R-Header	13
glb	f7c7eb431	R-Invariant	14
glb	f7c7eb431	R-LoopBuffer	2
glb	f7c7eb431	R-Push	6
glb	f7c7eb431	R-RecPtr	8
glb	f7c7eb431	R-RetAdopt	5
glb	f7c7eb431	R-TextBorrow	14
glb	f7c7eb431	R-ValueLocal	58
glb	f7c7eb431	R-ValueRecord	8
glb	f7c7eb431	R-WorkBuffer	1
glb	f7c7eb431	R-WorkBuffer/onward	3
graphics	9781cd628	R-Base	56
graphics	9781cd628	R-BoundedNest	4
graphics	9781cd628	R-CharWalk	10
graphics	9781cd628	R-CompleteWrite	43
graphics	9781cd628	R-CopyView	2
graphics	9781cd628	R-Header	65
graphics	9781cd628	R-Invariant	53
graphics	9781cd628	R-LoopBuffer	9
graphics	9781cd628	R-Push	15
graphics	9781cd628	R-PushFill	5
graphics	9781cd628	R-PushRec	2
graphics	9781cd628	R-RecPtr	12
graphics	9781cd628	R-RetAdopt	6
graphics	9781cd628	R-Scalar	45
graphics	9781cd628	R-TextBorrow	14
graphics	9781cd628	R-ValueLocal	124
graphics	9781cd628	R-ValueRecord	11
graphics	9781cd628	R-WorkBuffer	3
graphics	9781cd628	R-WorkBuffer/onward	4
gridmesh	9781cd628	R-Base	15
gridmesh	9781cd628	R-CharWalk	10
gridmesh	9781cd628	R-CompleteWrite	16
gridmesh	9781cd628	R-Header	17
gridmesh	9781cd628	R-Invariant	10
gridmesh	9781cd628	R-LoopBuffer	1
gridmesh	9781cd628	R-Push	6
gridmesh	9781cd628	R-RecPtr	10
gridmesh	9781cd628	R-RetAdopt	3
gridmesh	9781cd628	R-TextBorrow	11
gridmesh	9781cd628	R-ValueLocal	7
gridmesh	9781cd628	R-ValueRecord	2
gridmesh	9781cd628	R-WorkBuffer	2
hex_body	903885a46	R-Base	55
hex_body	903885a46	R-CharWalk	10
hex_body	903885a46	R-CompleteWrite	9
hex_body	903885a46	R-Header	81
hex_body	903885a46	R-Invariant	2
hex_body	903885a46	R-Push	17
hex_body	903885a46	R-PushFill	1
hex_body	903885a46	R-RecPtr	1
hex_body	903885a46	R-RetAdopt	3
hex_body	903885a46	R-SplitTable	2
hex_body	903885a46	R-TextBorrow	14
hex_body	903885a46	R-ValueLocal	6
hex_body	903885a46	R-ValueRecord	3
hex_body	903885a46	R-WorkBuffer	15
hex_body	903885a46	R-WorkBuffer/onward	75
hex_draw	903885a46	R-Base	184
hex_draw	903885a46	R-CharWalk	10
hex_draw	903885a46	R-CompleteWrite	78
hex_draw	903885a46	R-Header	223
hex_draw	903885a46	R-Invariant	94
hex_draw	903885a46	R-LoopBuffer	20
hex_draw	903885a46	R-Push	33
hex_draw	903885a46	R-PushFill	2
hex_draw	903885a46	R-RecPtr	1
hex_draw	903885a46	R-RetAdopt	4
hex_draw	903885a46	R-Scalar	277
hex_draw	903885a46	R-SplitTable	3
hex_draw	903885a46	R-TextBorrow	19
hex_draw	903885a46	R-ValueLocal	24
hex_draw	903885a46	R-ValueRecord	2
hex_draw	903885a46	R-WorkBuffer	13
hex_edge	903885a46	R-Base	77
hex_edge	903885a46	R-CharWalk	10
hex_edge	903885a46	R-CompleteWrite	41
hex_edge	903885a46	R-Header	91
hex_edge	903885a46	R-Invariant	86
hex_edge	903885a46	R-LoopBuffer	2
hex_edge	903885a46	R-Push	16
hex_edge	903885a46	R-PushFill	1
hex_edge	903885a46	R-RecPtr	1
hex_edge	903885a46	R-RetAdopt	3
hex_edge	903885a46	R-Scalar	78
hex_edge	903885a46	R-TextBorrow	15
hex_edge	903885a46	R-WorkBuffer	5
hex_field	903885a46	R-Base	78
hex_field	903885a46	R-CharWalk	10
hex_field	903885a46	R-CompleteWrite	21
hex_field	903885a46	R-Header	92
hex_field	903885a46	R-Invariant	98
hex_field	903885a46	R-LoopBuffer	3
hex_field	903885a46	R-Push	16
hex_field	903885a46	R-PushFill	1
hex_field	903885a46	R-RecPtr	1
hex_field	903885a46	R-RetAdopt	3
hex_field	903885a46	R-Scalar	79
hex_field	903885a46	R-TextBorrow	15
hex_field	903885a46	R-WorkBuffer	5
hex_field	903885a46	R-WorkBuffer/onward	20
hex_fit	903885a46	R-Base	260
hex_fit	903885a46	R-CharWalk	10
hex_fit	903885a46	R-CompleteWrite	153
hex_fit	903885a46	R-Header	334
hex_fit	903885a46	R-Invariant	180
hex_fit	903885a46	R-LoopBuffer	47
hex_fit	903885a46	R-Push	56
hex_fit	903885a46	R-PushFill	7
hex_fit	903885a46	R-RecPtr	1
hex_fit	903885a46	R-RetAdopt	4
hex_fit	903885a46	R-Scalar	423
hex_fit	903885a46	R-SplitTable	5
hex_fit	903885a46	R-TextBorrow	21
hex_fit	903885a46	R-ValueLocal	36
hex_fit	903885a46	R-ValueRecord	5
hex_fit	903885a46	R-WorkBuffer	21
hex_fit	903885a46	R-WorkBuffer/onward	19
hex_form	903885a46	R-Base	97
hex_form	903885a46	R-CharWalk	10
hex_form	903885a46	R-CompleteWrite	55
hex_form	903885a46	R-Header	135
hex_form	903885a46	R-Invariant	82
hex_form	903885a46	R-LoopBuffer	22
hex_form	903885a46	R-Push	32
hex_form	903885a46	R-PushFill	3
hex_form	903885a46	R-RecPtr	1
hex_form	903885a46	R-RetAdopt	4
hex_form	903885a46	R-Scalar	89
hex_form	903885a46	R-SplitTable	3
hex_form	903885a46	R-TextBorrow	19
hex_form	903885a46	R-ValueLocal	10
hex_form	903885a46	R-ValueRecord	1
hex_form	903885a46	R-WorkBuffer	12
hex_form	903885a46	R-WorkBuffer/onward	21
hex_grid	903885a46	R-Base	5
hex_grid	903885a46	R-CharWalk	10
hex_grid	903885a46	R-CompleteWrite	6
hex_grid	903885a46	R-Header	2
hex_grid	903885a46	R-RecPtr	1
hex_grid	903885a46	R-RetAdopt	3
hex_grid	903885a46	R-TextBorrow	11
hex_place	903885a46	R-Base	111
hex_place	903885a46	R-CharWalk	10
hex_place	903885a46	R-CompleteWrite	53
hex_place	903885a46	R-Header	142
hex_place	903885a46	R-Invariant	82
hex_place	903885a46	R-LoopBuffer	20
hex_place	903885a46	R-Push	30
hex_place	903885a46	R-PushFill	2
hex_place	903885a46	R-RecPtr	1
hex_place	903885a46	R-RetAdopt	4
hex_place	903885a46	R-Scalar	145
hex_place	903885a46	R-SplitTable	3
hex_place	903885a46	R-TextBorrow	19
hex_place	903885a46	R-ValueLocal	16
hex_place	903885a46	R-ValueRecord	3
hex_place	903885a46	R-WorkBuffer	11
hex_place	903885a46	R-WorkBuffer/onward	1
hex_recover	903885a46	R-Base	119
hex_recover	903885a46	R-CharWalk	10
