# host=laptop
# arch=x86_64-linux
# date=2026-09-21
# commit=23bdff126
# dirty=yes
# rustc=rustc 1.97.0 (2d8144b78 2026-07-07)
# samples=7
# target_ms=400.0
# ref_flags=-O
# pinned=yes
bench	routine	commit	date	flags	hash	native_max	native_min	native_n	native_ns	native_spread	ratio	ratio_hi	ratio_lo	rust_max	rust_min	rust_n	rust_ns	rust_spread	verdict
01_fibonacci	fibonacci				cb228	10592277	10361944	36	10408472	1.22	3.94	3.99	3.93	2687722	2636540	148	2639135	0.22	OVER
02_sum_loop	sum_loop				4c4b40	5392014	5384500	70	5387357	0.04	1.81	1.81	1.81	2980380	2975432	134	2976283	0.06	ok
03_sieve	sieve				658d	10931676	10923382	34	10927352	0.03	1.03	1.03	1.03	10651916	10641611	36	10647333	0.05	ok
04_collatz	collatz				94ecd97	51449333	51387500	6	51432333	0.04	2.01	2.01	2.01	25655428	25632571	14	25644357	0.04	OVER
05_mandelbrot	mandelbrot				24d948	6161578	6086187	64	6089921	0.07	0.99	0.99	0.99	6134296	6125906	64	6127109	0.11	ok
06_newton_sqrt	newton_sqrt				141af99	28267714	28124285	14	28134928	0.05	2.20	2.21	2.20	12773600	12756600	30	12764900	0.04	OVER
07_string_build	string_build				22ecfa	11124264	11074029	34	11099117	0.17	2.52	2.53	2.52	4408444	4392200	90	4401055	0.23	OVER
08_word_count	word_count				7f690e	21169388	20649500	18	20958888	1.54	4.68	4.73	4.61	4516895	4427104	86	4474616	0.92	OVER
09_matrix_mul	dot_product			noisy	13670dc1555	1781214	1481736	228	1625149	10.39	0.97	1.16	0.94	1695407	1399700	260	1668815	10.56	ok
10_sort	sort				24a2d	2235894	2180711	180	2195027	1.04	2.43	2.46	2.42	909386	899658	442	901619	0.30	OVER
11_par	par				141af99	9651421	9176500	38	9468000	2.58	5.27	5.43	5.04	1908081	1754966	148	1795168	4.88	OVER
12_drawing	hash				7698ffff	106244	105807	192	105932	0.14	1.00	1.00	1.00	106250	105869	252	105984	0.13	ok
