# key	size	allocations — the front end's heap allocations on bench/frontend's corpus.
# Pinned by `LOFT_FRONTEND_REPIN=1 cargo test [--release] --test frontend_counts`;
# read by tests/frontend_counts.rs, which fails when a pinned count GROWS.
linux-debug	medium	2552019
linux-debug	tiny	704738
linux-release	medium	2550667
linux-release	tiny	704186
